Year,Month,Day ,Sunrise,Sunset,DayLength,Difference,AstronomicalTwilightStart,AstronomicalTwilightEnd,NauticalTwilightStart,NauticalTwilightEnd,CivilTwilightStart,CivilTwilightEnd,SolarNoon,Mil. mi
,,8,7:01 am ? (109°),5:27 pm ? (251°),0.434895833,+2:16,0.228472222,0.790277778,0.250694444,0.76875,0.272916667,0.746527778,12:14 pm (35.3°),91.693
,,9,7:00 am ? (109°),5:28 pm ? (252°),0.436493056,+2:17,0.227777778,0.791666667,0.25,0.769444444,0.272222222,0.747222222,12:14 pm (35.6°),91.709
,,10,6:58 am ? (108°),5:29 pm ? (252°),0.438101852,+2:19,0.227083333,0.792361111,0.249305556,0.770138889,0.271527778,0.747916667,12:14 pm (35.9°),91.726
,,11,6:57 am ? (108°),5:31 pm ? (252°),0.439722222,+2:20,0.226388889,0.793055556,0.248611111,0.770833333,0.270138889,0.748611111,12:14 pm (36.2°),91.743
,,12,6:56 am ? (107°),5:32 pm ? (253°),0.441365741,+2:21,0.225694444,0.79375,0.247916667,0.771527778,0.269444444,0.75,12:14 pm (36.6°),91.761
,,13,6:55 am ? (107°),5:33 pm ? (253°),0.443009259,+2:22,0.225,0.794444444,0.247222222,0.772222222,0.26875,0.750694444,12:14 pm (36.9°),91.779
,,14,6:54 am ? (106°),5:34 pm ? (254°),0.444675926,+2:23,0.224305556,0.795138889,0.245833333,0.772916667,0.268055556,0.751388889,12:14 pm (37.3°),91.797
,,15,6:52 am ? (106°),5:35 pm ? (254°),0.446342593,+2:24,0.223611111,0.795833333,0.245138889,0.774305556,0.267361111,0.752083333,12:14 pm (37.6°),91.816
,,16,6:51 am ? (106°),5:36 pm ? (255°),0.448032407,+2:25,0.222916667,0.796527778,0.244444444,0.775,0.266666667,0.752777778,12:14 pm (37.9°),91.835
,,17,6:50 am ? (105°),5:38 pm ? (255°),0.449722222,+2:26,0.222222222,0.797222222,0.24375,0.775694444,0.265277778,0.753472222,12:13 pm (38.3°),91.854
,,18,6:49 am ? (105°),5:39 pm ? (256°),0.451435185,+2:27,0.220833333,0.797916667,0.243055556,0.776388889,0.264583333,0.754166667,12:13 pm (38.6°),91.874
,,19,6:47 am ? (104°),5:40 pm ? (256°),0.453148148,+2:28,0.220138889,0.798611111,0.241666667,0.777083333,0.263888889,0.754861111,12:13 pm (39.0°),91.894
,,20,6:46 am ? (104°),5:41 pm ? (257°),0.454872685,+2:28,0.219444444,0.799305556,0.240972222,0.777777778,0.263194444,0.755555556,12:13 pm (39.4°),91.914
,,21,6:45 am ? (103°),5:42 pm ? (257°),0.456597222,+2:29,0.21875,0.8,0.240277778,0.778472222,0.261805556,0.756944444,12:13 pm (39.7°),91.934
,,22,6:43 am ? (103°),5:43 pm ? (258°),0.458333333,+2:30,0.217361111,0.800694444,0.239583333,0.779166667,0.261111111,0.757638889,12:13 pm (40.1°),91.954
,,23,6:42 am ? (102°),5:44 pm ? (258°),0.460081019,+2:30,0.216666667,0.801388889,0.238194444,0.779861111,0.260416667,0.758333333,12:13 pm (40.4°),91.975
,,24,6:40 am ? (102°),5:46 pm ? (258°),0.461840278,+2:31,0.215972222,0.802083333,0.2375,0.780555556,0.259027778,0.759027778,12:13 pm (40.8°),91.996
,,25,6:39 am ? (101°),5:47 pm ? (259°),0.463599537,+2:32,0.214583333,0.802777778,0.236805556,0.78125,0.258333333,0.759722222,12:13 pm (41.2°),92.017
,,26,6:38 am ? (101°),5:48 pm ? (259°),0.465358796,+2:32,0.213888889,0.804166667,0.235416667,0.781944444,0.256944444,0.760416667,12:12 pm (41.6°),92.038
,,27,6:36 am ? (100°),5:49 pm ? (260°),0.467141204,+2:33,0.213194444,0.804861111,0.234722222,0.782638889,0.25625,0.761111111,12:12 pm (41.9°),92.059
,,28,6:35 am ? (100°),5:50 pm ? (260°),0.468912037,+2:33,0.211805556,0.805555556,0.233333333,0.783333333,0.255555556,0.761805556,12:12 pm (42.3°),92.081
,,29,6:33 am ? (99°),5:51 pm ? (261°),0.470694444,+2:33,0.211111111,0.80625,0.232638889,0.784027778,0.254166667,0.7625,12:12 pm (42.7°),92.103
2012,March,1,6:32 am ? (99°),5:52 pm ? (261°),0.472476852,+2:34,0.209722222,0.806944444,0.231944444,0.784722222,0.253472222,0.763194444,12:12 pm (43.1°),92.125
,,2,6:30 am ? (98°),5:53 pm ? (262°),0.474270833,+2:34,0.209027778,0.807638889,0.230555556,0.786111111,0.252083333,0.763888889,12:11 pm (43.4°),92.147
,,3,6:29 am ? (98°),5:54 pm ? (262°),0.476064815,+2:35,0.207638889,0.808333333,0.229861111,0.786805556,0.251388889,0.764583333,12:11 pm (43.8°),92.169
,,4,6:27 am ? (97°),5:55 pm ? (263°),0.47787037,+2:35,0.206944444,0.809027778,0.228472222,0.7875,0.25,0.765277778,12:11 pm (44.2°),92.192
,,5,6:26 am ? (97°),5:56 pm ? (263°),0.479664352,+2:35,0.205555556,0.809722222,0.227777778,0.788194444,0.249305556,0.765972222,12:11 pm (44.6°),92.215
,,6,6:24 am ? (96°),5:58 pm ? (264°),0.481469907,+2:36,0.204861111,0.810416667,0.226388889,0.788888889,0.247916667,0.766666667,12:11 pm (45.0°),92.239
,,7,6:23 am ? (96°),5:59 pm ? (264°),0.483287037,+2:36,0.203472222,0.811111111,0.225694444,0.789583333,0.247222222,0.768055556,12:10 pm (45.4°),92.263
,,8,6:21 am ? (95°),6:00 pm ? (265°),0.485092593,+2:36,0.202777778,0.811805556,0.224305556,0.790277778,0.245833333,0.76875,12:10 pm (45.8°),92.287
,,9,6:20 am ? (95°),6:01 pm ? (265°),0.486909722,+2:36,0.201388889,0.8125,0.222916667,0.790972222,0.245138889,0.769444444,12:10 pm (46.2°),92.312
,,10,6:18 am ? (94°),6:02 pm ? (266°),0.488726852,+2:36,0.2,0.813194444,0.222222222,0.791666667,0.24375,0.770138889,12:10 pm (46.5°),92.336
,,11,7:16 am ? (94°),7:03 pm ? (266°),0.490543981,+2:37,0.240972222,0.85625,0.2625,0.834027778,0.284722222,0.8125,1:09 pm (46.9°),92.362
,,12,7:15 am ? (93°),7:04 pm ? (267°),0.492361111,+2:37,0.239583333,0.856944444,0.261805556,0.834722222,0.283333333,0.813194444,1:09 pm (47.3°),92.387
,,13,7:13 am ? (93°),7:05 pm ? (268°),0.494189815,+2:37,0.238888889,0.857638889,0.260416667,0.835416667,0.281944444,0.813888889,1:09 pm (47.7°),92.413
,,14,7:12 am ? (92°),7:06 pm ? (268°),0.496006944,+2:37,0.2375,0.858333333,0.259722222,0.836111111,0.28125,0.814583333,1:08 pm (48.1°),92.438
,,15,7:10 am ? (92°),7:07 pm ? (269°),0.497835648,+2:37,0.236111111,0.859027778,0.258333333,0.836805556,0.279861111,0.815277778,1:08 pm (48.5°),92.464
,,16,7:08 am ? (91°),7:08 pm ? (269°),0.499652778,+2:37,0.235416667,0.859722222,0.256944444,0.8375,0.279166667,0.815972222,1:08 pm (48.9°),92.491
,,17,7:07 am ? (91°),7:09 pm ? (270°),0.501481481,+2:37,0.234027778,0.860416667,0.25625,0.838194444,0.277777778,0.816666667,1:08 pm (49.3°),92.517
,,18,7:05 am ? (90°),7:10 pm ? (270°),0.503298611,+2:37,0.232638889,0.861111111,0.254861111,0.838888889,0.276388889,0.817361111,1:07 pm (49.7°),92.543
,,19,7:04 am ? (90°),7:11 pm ? (271°),0.505127315,+2:37,0.23125,0.8625,0.253472222,0.839583333,0.275694444,0.818055556,1:07 pm (50.1°),92.569
,,20,7:02 am ? (89°),7:12 pm ? (271°),0.506956019,+2:37,0.230555556,0.863194444,0.252777778,0.840972222,0.274305556,0.81875,1:07 pm (50.5°),92.596
,,21,7:00 am ? (89°),7:13 pm ? (272°),0.508773148,+2:37,0.229166667,0.863888889,0.251388889,0.841666667,0.273611111,0.819444444,1:06 pm (50.9°),92.622
,,22,6:59 am ? (88°),7:14 pm ? (272°),0.510601852,+2:37,0.227777778,0.864583333,0.25,0.842361111,0.272222222,0.820138889,1:06 pm (51.3°),92.648
,,23,6:57 am ? (88°),7:15 pm ? (273°),0.512418981,+2:37,0.226388889,0.865277778,0.249305556,0.843055556,0.270833333,0.820833333,1:06 pm (51.7°),92.674
,,24,6:56 am ? (87°),7:16 pm ? (273°),0.514247685,+2:37,0.225694444,0.865972222,0.247916667,0.84375,0.270138889,0.821527778,1:06 pm (52.1°),92.701
,,25,6:54 am ? (87°),7:17 pm ? (274°),0.516064815,+2:37,0.224305556,0.867361111,0.246527778,0.844444444,0.26875,0.822222222,1:05 pm (52.5°),92.727
,,26,6:52 am ? (86°),7:18 pm ? (274°),0.517881944,+2:37,0.222916667,0.868055556,0.245833333,0.845138889,0.267361111,0.822916667,1:05 pm (52.9°),92.753
,,27,6:51 am ? (86°),7:19 pm ? (275°),0.519699074,+2:36,0.221527778,0.86875,0.244444444,0.845833333,0.266666667,0.823611111,1:05 pm (53.2°),92.779
,,28,6:49 am ? (85°),7:20 pm ? (275°),0.52150463,+2:36,0.220833333,0.869444444,0.243055556,0.846527778,0.265277778,0.824305556,1:04 pm (53.6°),92.805
,,29,6:48 am ? (85°),7:21 pm ? (276°),0.523321759,+2:36,0.219444444,0.870138889,0.242361111,0.847222222,0.263888889,0.825,1:04 pm (54.0°),92.831
,,30,6:46 am ? (84°),7:22 pm ? (276°),0.525127315,+2:36,0.218055556,0.870833333,0.240972222,0.847916667,0.263194444,0.825694444,1:04 pm (54.4°),92.857
,,31,6:44 am ? (84°),7:23 pm ? (277°),0.52693287,+2:35,0.216666667,0.872222222,0.239583333,0.849305556,0.261805556,0.826388889,1:03 pm (54.8°),92.883
2012,April,1,6:43 am ? (83°),7:24 pm ? (277°),0.528738426,+2:35,0.215277778,0.872916667,0.238194444,0.85,0.261111111,0.827083333,1:03 pm (55.2°),92.909
,,2,6:41 am ? (83°),7:25 pm ? (278°),0.530532407,+2:35,0.213888889,0.873611111,0.2375,0.850694444,0.259722222,0.827777778,1:03 pm (55.6°),92.935
,,3,6:40 am ? (82°),7:26 pm ? (278°),0.532326389,+2:34,0.213194444,0.874305556,0.236111111,0.851388889,0.258333333,0.829166667,1:03 pm (55.9°),92.962
,,4,6:38 am ? (82°),7:27 pm ? (279°),0.53412037,+2:34,0.211805556,0.875694444,0.234722222,0.852083333,0.257638889,0.829861111,1:02 pm (56.3°),92.988
,,5,6:36 am ? (81°),7:28 pm ? (279°),0.535902778,+2:34,0.210416667,0.876388889,0.234027778,0.852777778,0.25625,0.830555556,1:02 pm (56.7°),93.015
,,6,6:35 am ? (81°),7:29 pm ? (280°),0.537685185,+2:33,0.209027778,0.877083333,0.232638889,0.853472222,0.254861111,0.83125,1:02 pm (57.1°),93.041
,,7,6:33 am ? (80°),7:30 pm ? (280°),0.539456019,+2:33,0.207638889,0.877777778,0.23125,0.854166667,0.254166667,0.831944444,1:01 pm (57.5°),93.068
,,8,6:32 am ? (80°),7:31 pm ? (281°),0.541226852,+2:33,0.206944444,0.879166667,0.230555556,0.855555556,0.252777778,0.832638889,1:01 pm (57.8°),93.095
,,9,6:30 am ? (79°),7:32 pm ? (281°),0.542997685,+2:32,0.205555556,0.879861111,0.229166667,0.85625,0.252083333,0.833333333,1:01 pm (58.2°),93.121
,,10,6:29 am ? (79°),7:33 pm ? (282°),0.544756944,+2:32,0.204166667,0.880555556,0.227777778,0.856944444,0.250694444,0.834027778,1:01 pm (58.6°),93.148
,,11,6:27 am ? (78°),7:34 pm ? (282°),0.546516204,+2:31,0.202777778,0.881944444,0.226388889,0.857638889,0.249305556,0.834722222,1:00 pm (58.9°),93.175
,,12,6:26 am ? (78°),7:35 pm ? (283°),0.548263889,+2:31,0.201388889,0.882638889,0.225694444,0.858333333,0.248611111,0.835416667,1:00 pm (59.3°),93.202
,,13,6:24 am ? (77°),7:36 pm ? (283°),0.55,+2:30,0.2,0.883333333,0.224305556,0.859027778,0.247222222,0.836111111,1:00 pm (59.7°),93.229
,,14,6:23 am ? (77°),7:37 pm ? (284°),0.551736111,+2:29,0.199305556,0.884722222,0.222916667,0.860416667,0.246527778,0.836805556,1:00 pm (60.0°),93.256
,,15,6:21 am ? (76°),7:38 pm ? (284°),0.553460648,+2:29,0.197916667,0.885416667,0.222222222,0.861111111,0.245138889,0.8375,12:59 pm (60.4°),93.283
,,16,6:20 am ? (76°),7:39 pm ? (285°),0.555185185,+2:28,0.196527778,0.886111111,0.220833333,0.861805556,0.244444444,0.838194444,12:59 pm (60.7°),93.309
,,17,6:18 am ? (75°),7:40 pm ? (285°),0.556898148,+2:28,0.195138889,0.8875,0.219444444,0.8625,0.243055556,0.838888889,12:59 pm (61.1°),93.335
,,18,6:17 am ? (75°),7:41 pm ? (285°),0.558599537,+2:27,0.19375,0.888194444,0.21875,0.863194444,0.242361111,0.839583333,12:59 pm (61.4°),93.361
,,19,6:15 am ? (74°),7:42 pm ? (286°),0.560289352,+2:26,0.192361111,0.889583333,0.217361111,0.864583333,0.240972222,0.840972222,12:58 pm (61.8°),93.387
,,20,6:14 am ? (74°),7:43 pm ? (286°),0.561979167,+2:25,0.191666667,0.890277778,0.216666667,0.865277778,0.240277778,0.841666667,12:58 pm (62.1°),93.413
,,21,6:13 am ? (73°),7:44 pm ? (287°),0.563657407,+2:24,0.190277778,0.890972222,0.215277778,0.865972222,0.238888889,0.842361111,12:58 pm (62.5°),93.438
,,22,6:11 am ? (73°),7:45 pm ? (287°),0.5653125,+2:23,0.188888889,0.892361111,0.213888889,0.866666667,0.238194444,0.843055556,12:58 pm (62.8°),93.463
,,23,6:10 am ? (73°),7:46 pm ? (288°),0.566967593,+2:22,0.1875,0.893055556,0.213194444,0.867361111,0.236805556,0.84375,12:58 pm (63.1°),93.488
,,24,6:08 am ? (72°),7:47 pm ? (288°),0.568611111,+2:21,0.186111111,0.894444444,0.211805556,0.86875,0.236111111,0.844444444,12:57 pm (63.4°),93.513
,,25,6:07 am ? (72°),7:48 pm ? (289°),0.570243056,+2:21,0.185416667,0.895138889,0.211111111,0.869444444,0.234722222,0.845138889,12:57 pm (63.8°),93.537
,,26,6:06 am ? (71°),7:49 pm ? (289°),0.571863426,+2:19,0.184027778,0.896527778,0.209722222,0.870138889,0.234027778,0.845833333,12:57 pm (64.1°),93.561
,,27,6:04 am ? (71°),7:50 pm ? (289°),0.573472222,+2:18,0.182638889,0.897222222,0.209027778,0.870833333,0.233333333,0.846527778,12:57 pm (64.4°),93.585
,,28,6:03 am ? (70°),7:51 pm ? (290°),0.57505787,+2:17,0.18125,0.897916667,0.207638889,0.872222222,0.231944444,0.847222222,12:57 pm (64.7°),93.608
,,29,6:02 am ? (70°),7:52 pm ? (290°),0.576643519,+2:16,0.180555556,0.899305556,0.206944444,0.872916667,0.23125,0.847916667,12:57 pm (65.0°),93.632
,,30,6:01 am ? (70°),7:53 pm ? (291°),0.578206019,+2:15,0.179166667,0.9,0.205555556,0.873611111,0.229861111,0.848611111,12:57 pm (65.3°),93.655
2012,May,1,5:59 am ? (69°),7:54 pm ? (291°),0.579756944,+2:13,0.177777778,0.901388889,0.204861111,0.874305556,0.229166667,0.85,12:56 pm (65.6°),93.678
,,2,5:58 am ? (69°),7:55 pm ? (291°),0.581284722,+2:12,0.177083333,0.902083333,0.203472222,0.875694444,0.228472222,0.850694444,12:56 pm (65.9°),93.701
,,3,5:57 am ? (68°),7:56 pm ? (292°),0.5828125,+2:11,0.175694444,0.903472222,0.202777778,0.876388889,0.227777778,0.851388889,12:56 pm (66.2°),93.724
,,4,5:56 am ? (68°),7:57 pm ? (292°),0.584305556,+2:09,0.174305556,0.904166667,0.201388889,0.877083333,0.226388889,0.852083333,12:56 pm (66.5°),93.746
,,5,5:55 am ? (68°),7:58 pm ? (293°),0.585798611,+2:08,0.173611111,0.905555556,0.200694444,0.877777778,0.225694444,0.852777778,12:56 pm (66.8°),93.769
,,6,5:54 am ? (67°),7:59 pm ? (293°),0.587256944,+2:06,0.172222222,0.90625,0.199305556,0.878472222,0.225,0.853472222,12:56 pm (67.1°),93.791
,,7,5:52 am ? (67°),8:00 pm ? (293°),0.588715278,+2:05,0.170833333,0.907638889,0.198611111,0.879861111,0.224305556,0.854166667,12:56 pm (67.3°),93.813
,,8,5:51 am ? (67°),8:01 pm ? (294°),0.590138889,+2:03,0.170138889,0.908333333,0.197916667,0.880555556,0.222916667,0.854861111,12:56 pm (67.6°),93.836
,,9,5:50 am ? (66°),8:02 pm ? (294°),0.591550926,+2:01,0.16875,0.909722222,0.196527778,0.88125,0.222222222,0.855555556,12:56 pm (67.9°),93.858
,,10,5:49 am ? (66°),8:03 pm ? (294°),0.592939815,+2:00,0.168055556,0.910416667,0.195833333,0.881944444,0.221527778,0.85625,12:56 pm (68.1°),93.88
,,11,5:48 am ? (65°),8:04 pm ? (295°),0.59431713,+1:58,0.166666667,0.911111111,0.195138889,0.883333333,0.220833333,0.856944444,12:56 pm (68.4°),93.901
,,12,5:47 am ? (65°),8:05 pm ? (295°),0.595659722,+1:56,0.165972222,0.9125,0.194444444,0.884027778,0.220138889,0.857638889,12:56 pm (68.6°),93.923
,,13,5:46 am ? (65°),8:06 pm ? (295°),0.596990741,+1:54,0.164583333,0.913194444,0.193055556,0.884722222,0.219444444,0.858333333,12:56 pm (68.9°),93.944
,,14,5:45 am ? (64°),8:07 pm ? (296°),0.598298611,+1:52,0.163888889,0.914583333,0.192361111,0.885416667,0.21875,0.859027778,12:56 pm (69.1°),93.965
,,15,5:44 am ? (64°),8:08 pm ? (296°),0.599571759,+1:50,0.1625,0.915277778,0.191666667,0.886111111,0.218055556,0.859722222,12:56 pm (69.4°),93.985
,,16,5:44 am ? (64°),8:09 pm ? (296°),0.600833333,+1:48,0.161805556,0.916666667,0.190972222,0.8875,0.217361111,0.860416667,12:56 pm (69.6°),94.005
,,17,5:43 am ? (64°),8:10 pm ? (297°),0.602060185,+1:46,0.161111111,0.917361111,0.190277778,0.888194444,0.216666667,0.861111111,12:56 pm (69.8°),94.025
,,18,5:42 am ? (63°),8:11 pm ? (297°),0.603263889,+1:44,0.159722222,0.91875,0.189583333,0.888888889,0.215972222,0.861805556,12:56 pm (70.0°),94.044
,,19,5:41 am ? (63°),8:11 pm ? (297°),0.604444444,+1:41,0.159027778,0.919444444,0.188888889,0.889583333,0.215277778,0.8625,12:56 pm (70.2°),94.063
,,20,5:40 am ? (63°),8:12 pm ? (298°),0.605590278,+1:39,0.158333333,0.920138889,0.188194444,0.890277778,0.214583333,0.863194444,12:56 pm (70.4°),94.082
,,21,5:40 am ? (62°),8:13 pm ? (298°),0.606712963,+1:37,0.156944444,0.921527778,0.1875,0.890972222,0.213888889,0.863888889,12:56 pm (70.6°),94.1
,,22,5:39 am ? (62°),8:14 pm ? (298°),0.6078125,+1:34,0.15625,0.922222222,0.186805556,0.891666667,0.213888889,0.864583333,12:56 pm (70.8°),94.117
,,23,5:38 am ? (62°),8:15 pm ? (298°),0.608877315,+1:32,0.155555556,0.922916667,0.186111111,0.892361111,0.213194444,0.865277778,12:56 pm (71.0°),94.135
,,24,5:37 am ? (62°),8:16 pm ? (299°),0.609918981,+1:29,0.154861111,0.924305556,0.185416667,0.893055556,0.2125,0.865972222,12:56 pm (71.2°),94.151
,,25,5:37 am ? (61°),8:17 pm ? (299°),0.610925926,+1:26,0.154166667,0.925,0.184722222,0.894444444,0.211805556,0.866666667,12:56 pm (71.4°),94.167
,,26,5:36 am ? (61°),8:17 pm ? (299°),0.611898148,+1:24,0.153472222,0.925694444,0.184027778,0.895138889,0.211805556,0.867361111,12:57 pm (71.5°),94.183
,,27,5:36 am ? (61°),8:18 pm ? (299°),0.612835648,+1:21,0.152777778,0.927083333,0.184027778,0.895833333,0.211111111,0.868055556,12:57 pm (71.7°),94.199
,,28,5:35 am ? (61°),8:19 pm ? (299°),0.61375,+1:18,0.152083333,0.927777778,0.183333333,0.896527778,0.210416667,0.86875,12:57 pm (71.9°),94.214
,,29,5:35 am ? (60°),8:20 pm ? (300°),0.61462963,+1:15,0.151388889,0.928472222,0.182638889,0.896527778,0.210416667,0.869444444,12:57 pm (72.0°),94.228
,,30,5:34 am ? (60°),8:20 pm ? (300°),0.615462963,+1:12,0.150694444,0.929166667,0.181944444,0.897222222,0.209722222,0.869444444,12:57 pm (72.2°),94.243
,,31,5:34 am ? (60°),8:21 pm ? (300°),0.616273148,+1:09,0.15,0.929861111,0.181944444,0.897916667,0.209722222,0.870138889,12:57 pm (72.3°),94.257
2012,June,1,5:33 am ? (60°),8:22 pm ? (300°),0.617048611,+1:06,0.149305556,0.930555556,0.18125,0.898611111,0.209027778,0.870833333,12:57 pm (72.4°),94.27
,,2,5:33 am ? (60°),8:23 pm ? (300°),0.617789352,+1:03,0.148611111,0.93125,0.18125,0.899305556,0.209027778,0.871527778,12:58 pm (72.6°),94.284
